Date	Open*	High	Low	Close**	Volume	Market Cap
Jun 29, 2018	0.606791	0.676429	0.583630	0.660468	9,439,390	323,052,480
Jun 28, 2018	0.642657	0.661132	0.602466	0.607078	6,446,650	342,187,616
Jun 27, 2018	0.620553	0.644165	0.608900	0.642297	6,489,030	330,337,952
Jun 26, 2018	0.708526	0.708760	0.626104	0.626104	5,945,360	377,118,720
Jun 25, 2018	0.679638	0.706139	0.655367	0.705315	7,304,940	361,753,408
Jun 24, 2018	0.723747	0.725626	0.598913	0.681018	9,599,880	385,131,008
Jun 23, 2018	0.738561	0.760752	0.696822	0.724378	6,520,750	393,085,056
Jun 22, 2018	0.848888	0.848888	0.690151	0.736945	12,611,600	451,364,384
Jun 21, 2018	0.877086	0.892406	0.844656	0.849209	7,929,030	466,354,592
Jun 20, 2018	0.877874	0.898744	0.836419	0.877894	9,302,830	466,720,896
Jun 19, 2018	0.868610	0.908611	0.845553	0.878792	10,040,200	461,851,424
Jun 18, 2018	0.843667	0.890851	0.816503	0.871791	10,855,700	448,609,792
Jun 17, 2018	0.876548	0.894331	0.842978	0.844041	6,825,570	466,111,456
Jun 16, 2018	0.877455	0.894325	0.841372	0.876575	8,392,000	466,618,496
Jun 15, 2018	0.948530	0.958561	0.870264	0.879401	10,903,400	504,336,288
Jun 14, 2018	0.821271	0.983472	0.812555	0.945688	16,718,500	436,545,952
Jun 13, 2018	0.907088	0.921793	0.798640	0.821614	13,819,300	482,208,832
Jun 12, 2018	1.07	1.07	0.888190	0.904317	18,970,100	567,029,824
Jun 11, 2018	1.05	1.08	1.01	1.07	12,220,200	559,630,720
Jun 10, 2018	1.23	1.23	1.02	1.06	17,417,800	654,731,520
Jun 09, 2018	1.27	1.29	1.23	1.23	9,623,670	677,561,856
Jun 08, 2018	1.29	1.30	1.24	1.27	11,553,900	685,996,160
Jun 07, 2018	1.33	1.35	1.29	1.29	15,059,000	709,555,392
Jun 06, 2018	1.27	1.34	1.25	1.33	17,778,000	674,150,976
Jun 05, 2018	1.25	1.28	1.19	1.27	14,802,100	662,626,944
Jun 04, 2018	1.35	1.36	1.22	1.24	16,008,100	716,685,376
Jun 03, 2018	1.28	1.37	1.28	1.34	18,679,900	681,804,416
Jun 02, 2018	1.25	1.31	1.24	1.28	18,035,800	664,994,368
Jun 01, 2018	1.28	1.31	1.23	1.25	15,376,300	682,448,192
May 31, 2018	1.23	1.35	1.22	1.28	24,019,900	653,015,552
May 30, 2018	1.25	1.43	1.20	1.24	61,238,000	666,040,448
May 29, 2018	1.04	1.31	1.04	1.25	33,023,800	550,536,576
May 28, 2018	1.18	1.23	1.02	1.04	17,668,100	627,088,320
May 27, 2018	1.21	1.22	1.15	1.18	13,848,800	642,788,480
May 26, 2018	1.28	1.30	1.21	1.21	16,562,000	676,180,288
May 25, 2018	1.37	1.42	1.26	1.28	24,881,000	724,802,688
May 24, 2018	1.35	1.46	1.18	1.36	69,716,304	714,895,104
May 23, 2018	1.16	1.53	1.02	1.34	109,784,000	610,765,760
May 22, 2018	1.34	1.34	1.15	1.16	13,504,300	707,590,720
May 21, 2018	1.46	1.46	1.31	1.34	11,400,100	771,929,408
May 20, 2018	1.46	1.47	1.38	1.46	17,562,300	774,617,280
May 19, 2018	1.31	1.50	1.27	1.46	21,572,600	690,594,368
May 18, 2018	1.25	1.33	1.21	1.31	13,513,400	660,922,496
May 17, 2018	1.37	1.47	1.24	1.25	17,967,300	725,236,288
May 16, 2018	1.48	1.49	1.31	1.37	22,546,000	784,396,096
May 15, 2018	1.55	1.60	1.48	1.49	25,323,200	820,323,968
May 14, 2018	1.74	1.76	1.52	1.55	39,254,100	921,409,536
May 13, 2018	1.65	1.80	1.58	1.76	26,815,200	871,010,944
May 12, 2018	1.67	1.75	1.56	1.65	31,528,600	884,544,256
May 11, 2018	1.87	1.95	1.55	1.68	73,323,696	985,793,920
May 10, 2018	1.73	2.03	1.73	1.87	79,254,200	910,745,984
May 09, 2018	1.73	1.81	1.55	1.72	42,871,100	915,472,128
May 08, 2018	1.71	1.85	1.62	1.74	62,004,400	899,652,096
May 07, 2018	1.61	1.77	1.48	1.71	51,526,300	848,274,304
May 06, 2018	1.63	1.63	1.42	1.60	26,020,400	860,536,448
May 05, 2018	1.74	1.74	1.55	1.64	42,183,700	914,440,384
May 04, 2018	1.46	1.74	1.44	1.74	66,082,900	770,614,144
May 03, 2018	1.31	1.50	1.31	1.47	41,261,000	690,804,736
May 02, 2018	1.20	1.33	1.19	1.32	18,364,000	629,898,496
May 01, 2018	1.18	1.20	1.11	1.20	8,402,910	621,801,792
Apr 30, 2018	1.29	1.32	1.17	1.18	15,398,400	678,160,448
Apr 29, 2018	1.21	1.29	1.17	1.29	15,139,900	633,352,000
Apr 28, 2018	1.06	1.20	1.06	1.20	12,163,300	558,568,000
Apr 27, 2018	1.14	1.17	1.07	1.07	11,468,700	600,739,904
Apr 26, 2018	1.01	1.14	0.987134	1.14	22,609,800	530,780,224
Apr 25, 2018	1.16	1.17	0.930012	1.00	21,908,800	610,872,256
Apr 24, 2018	1.00	1.19	0.999462	1.18	20,916,100	526,690,496
Apr 23, 2018	0.986294	1.05	0.974842	1.00	12,697,400	517,620,256
Apr 22, 2018	0.923340	1.03	0.908699	0.989329	12,194,800	484,530,176
Apr 21, 2018	0.987339	0.988635	0.848412	0.925737	13,669,900	518,005,856
Apr 20, 2018	0.911048	0.989289	0.908496	0.987393	13,211,600	477,524,160
Apr 19, 2018	0.922522	0.923694	0.882704	0.910871	12,641,600	483,494,240
Apr 18, 2018	0.834345	0.925666	0.830546	0.921562	19,961,100	436,472,960
Apr 17, 2018	0.749219	0.865321	0.737612	0.832962	17,849,000	391,667,616
Apr 16, 2018	0.796338	0.799934	0.728368	0.748151	9,432,380	416,309,376
Apr 15, 2018	0.737839	0.795601	0.737839	0.794809	9,953,590	385,699,680
Apr 14, 2018	0.683097	0.752181	0.675866	0.734964	9,601,650	357,040,960
Apr 13, 2018	0.693395	0.733442	0.663744	0.683492	9,751,480	362,475,136
Apr 12, 2018	0.597102	0.693241	0.586872	0.690860	11,778,600	312,222,784
Apr 11, 2018	0.560515	0.632883	0.557904	0.601094	14,279,900	292,991,808
Apr 10, 2018	0.539508	0.567898	0.531878	0.559650	4,924,860	281,925,792
Apr 09, 2018	0.570968	0.597430	0.529910	0.538626	5,771,320	298,331,392
Apr 08, 2018	0.537749	0.587152	0.536676	0.569958	7,168,460	280,926,592
Apr 07, 2018	0.518935	0.552330	0.517437	0.540932	4,952,320	271,069,728
Apr 06, 2018	0.545051	0.552791	0.506217	0.519040	6,396,980	284,762,816
Apr 05, 2018	0.521423	0.684956	0.503211	0.545786	35,059,200	272,136,544
Apr 04, 2018	0.595003	0.595003	0.511321	0.521539	5,016,430	310,437,632
Apr 03, 2018	0.532139	0.632310	0.522737	0.595733	10,138,500	277,576,512
Apr 02, 2018	0.505667	0.544264	0.503517	0.531577	4,329,230	263,740,384
Apr 01, 2018	0.547496	0.575094	0.474197	0.504651	5,419,080	285,454,720
Mar 31, 2018	0.513031	0.561400	0.511179	0.547294	4,848,730	267,428,256
Mar 30, 2018	0.533715	0.535158	0.475715	0.513417	5,662,420	278,238,816
Mar 29, 2018	0.635285	0.658245	0.507468	0.535400	8,268,510	331,200,704
Mar 28, 2018	0.635673	0.651955	0.600326	0.633827	11,336,500	331,379,520
Mar 27, 2018	0.653510	0.699362	0.567041	0.637713	32,818,400	339,925,760
Mar 26, 2018	0.595270	0.801527	0.508499	0.659132	45,730,400	309,319,168
Mar 25, 2018	0.592728	0.613129	0.562428	0.595489	4,898,480	308,086,144
Mar 24, 2018	0.560314	0.618665	0.554062	0.597900	5,652,270	291,103,392
Mar 23, 2018	0.578563	0.583475	0.511481	0.554259	5,367,430	300,585,248
Mar 22, 2018	0.582848	0.633587	0.554356	0.578416	8,667,940	302,665,344
Mar 21, 2018	0.537362	0.617998	0.537362	0.582054	7,988,280	278,900,096
Mar 20, 2018	0.468713	0.558981	0.460619	0.534654	6,190,060	243,114,560
Mar 19, 2018	0.442396	0.464974	0.435120	0.464974	3,859,170	229,324,496
Mar 18, 2018	0.443938	0.443938	0.354991	0.441154	5,900,160	230,038,000
Mar 17, 2018	0.503508	0.503508	0.442287	0.444696	3,134,240	260,895,712
Mar 16, 2018	0.484890	0.529674	0.468640	0.503941	4,675,690	251,137,600
Mar 15, 2018	0.517678	0.520949	0.460781	0.486085	4,601,280	268,025,952
Mar 14, 2018	0.595073	0.608643	0.514046	0.518390	4,919,120	307,650,496
Mar 13, 2018	0.626599	0.658558	0.584119	0.595122	5,484,210	323,982,528
Mar 12, 2018	0.683034	0.708498	0.617465	0.628817	4,099,150	353,101,888
Mar 11, 2018	0.631398	0.684097	0.609048	0.682246	4,172,970	326,313,952
Mar 10, 2018	0.646254	0.733354	0.633139	0.635473	7,654,580	333,757,344
Mar 09, 2018	0.637627	0.646006	0.567193	0.645375	5,198,880	329,853,568
Mar 08, 2018	0.701590	0.735299	0.637734	0.641815	6,500,550	362,722,816
Mar 07, 2018	0.783247	0.795471	0.670935	0.696557	7,856,390	404,789,344
Mar 06, 2018	0.887447	0.887447	0.778876	0.784441	6,516,140	458,343,744
Mar 05, 2018	0.920334	0.930618	0.887097	0.887579	6,025,120	475,287,872
Mar 04, 2018	0.915349	0.923982	0.890946	0.921463	5,709,570	472,507,264
Mar 03, 2018	0.934461	0.969524	0.909748	0.917723	6,815,010	482,396,704
Mar 02, 2018	0.961520	1.01	0.930779	0.938003	7,594,580	496,230,848
Mar 01, 2018	0.916661	0.969874	0.880255	0.962535	8,661,110	471,872,736
Feb 28, 2018	0.992029	1.01	0.916808	0.917173	6,891,760	510,407,424
Feb 27, 2018	1.04	1.14	0.990280	0.993080	17,494,200	532,383,776
Feb 26, 2018	0.977440	1.07	0.945288	1.03	8,738,640	501,882,432
Feb 25, 2018	0.917998	1.00	0.905002	0.974205	10,967,400	471,351,712
Feb 24, 2018	0.982682	1.05	0.880218	0.920412	8,140,960	504,188,736
Feb 23, 2018	0.900781	0.984626	0.861228	0.979024	5,936,610	461,933,024
Feb 22, 2018	0.944015	1.01	0.862158	0.903932	6,338,430	483,473,376
