Date	Open*	High	Low	Close**	Volume	Market Cap
Jun 08, 2018	13.71	13.79	12.93	13.54	112,317,000	1,215,093,376
Jun 07, 2018	13.77	14.00	13.61	13.69	116,089,000	1,220,906,624
Jun 06, 2018	13.94	14.03	13.30	13.74	111,312,000	1,235,361,152
Jun 05, 2018	13.72	14.05	13.31	13.90	125,679,000	1,216,318,208
Jun 04, 2018	14.69	14.84	13.58	13.73	137,690,000	1,302,522,368
Jun 03, 2018	14.69	14.92	14.61	14.71	138,318,000	1,302,477,312
Jun 02, 2018	14.46	14.83	14.38	14.72	154,167,008	1,281,870,208
Jun 01, 2018	13.36	14.50	13.29	14.47	152,020,000	1,184,144,512
May 31, 2018	13.09	13.57	12.98	13.35	121,813,000	1,160,133,888
May 30, 2018	13.18	13.52	12.85	13.08	122,833,000	1,168,114,176
May 29, 2018	12.34	13.37	12.25	13.19	127,041,000	1,093,812,096
May 28, 2018	13.31	13.46	12.31	12.41	123,898,000	1,179,213,568
May 27, 2018	13.27	13.42	13.00	13.25	114,514,000	1,175,971,072
May 26, 2018	13.32	13.69	13.13	13.23	110,855,000	1,180,024,192
May 25, 2018	14.02	14.06	13.11	13.34	117,740,000	1,242,106,112
May 24, 2018	13.37	14.27	12.84	14.00	142,782,000	1,185,197,952
May 23, 2018	15.11	15.23	13.35	13.47	137,510,000	1,339,154,944
May 22, 2018	16.33	16.36	14.96	15.16	133,593,000	1,446,970,752
May 21, 2018	16.84	16.93	16.13	16.32	147,283,008	1,492,250,368
May 20, 2018	16.12	17.17	15.94	16.80	144,048,000	1,428,645,504
May 19, 2018	16.08	16.36	15.59	16.07	119,203,000	1,424,440,960
May 18, 2018	15.48	16.12	15.15	16.07	136,196,992	1,371,431,040
May 17, 2018	16.62	17.06	15.27	15.54	197,268,000	1,472,919,808
May 16, 2018	17.00	17.00	15.96	16.57	216,532,992	1,506,017,536
May 15, 2018	18.06	18.61	16.88	17.03	163,231,008	1,600,427,776
May 14, 2018	17.50	18.73	16.41	18.06	189,400,992	1,550,160,896
May 13, 2018	16.39	18.01	16.03	17.48	117,365,000	1,452,287,616
May 12, 2018	16.13	16.82	14.76	16.40	162,164,992	1,429,083,776
May 11, 2018	18.58	18.65	15.70	16.23	202,450,000	1,646,165,632
May 10, 2018	20.21	20.38	18.55	18.59	168,132,000	1,790,332,032
May 09, 2018	20.87	20.87	19.51	20.20	144,154,000	1,848,584,704
May 08, 2018	21.58	21.92	20.56	20.87	182,507,008	1,911,211,776
May 07, 2018	22.90	22.90	20.91	21.57	223,002,000	2,028,423,680
May 06, 2018	22.51	23.66	21.83	22.92	333,259,008	1,993,365,120
May 05, 2018	22.21	23.02	22.14	22.51	220,967,008	1,967,500,032
May 04, 2018	22.84	23.51	21.81	22.23	246,099,008	2,022,559,488
May 03, 2018	22.34	23.33	21.94	22.90	259,996,992	1,978,194,816
May 02, 2018	22.23	22.47	21.71	22.36	195,646,000	1,968,993,408
May 01, 2018	22.71	22.71	21.13	22.12	229,135,008	2,011,543,680
Apr 30, 2018	23.15	25.60	22.12	22.64	414,455,008	2,050,304,384
Apr 29, 2018	21.80	23.56	20.64	23.06	374,563,008	1,930,914,432
Apr 28, 2018	19.89	22.13	19.89	21.79	245,488,992	1,760,994,688
Apr 27, 2018	21.22	21.26	19.97	19.97	209,527,008	1,878,923,648
Apr 26, 2018	19.25	21.28	18.60	21.15	230,351,008	1,704,484,352
Apr 25, 2018	22.78	22.78	18.50	19.17	275,424,992	2,017,066,240
Apr 24, 2018	20.47	23.70	20.47	23.05	311,035,008	1,812,574,464
Apr 23, 2018	19.57	20.75	19.57	20.50	233,026,000	1,732,493,312
Apr 22, 2018	19.28	19.99	18.66	19.39	168,798,000	1,706,924,416
Apr 21, 2018	20.35	20.74	18.19	19.34	209,811,008	1,801,789,696
Apr 20, 2018	18.71	20.60	18.21	20.31	243,844,992	1,656,840,192
Apr 19, 2018	17.60	18.72	17.48	18.72	212,700,992	1,558,023,296
Apr 18, 2018	16.34	17.60	16.29	17.55	243,663,008	1,446,609,792
Apr 17, 2018	16.53	16.94	16.01	16.37	188,056,992	1,463,113,088
Apr 16, 2018	16.78	16.91	15.69	16.32	195,194,000	1,485,594,624
Apr 15, 2018	15.84	16.91	15.84	16.85	177,596,000	1,402,039,040
Apr 14, 2018	15.67	16.28	15.39	15.81	203,908,000	1,387,087,872
Apr 13, 2018	16.27	17.26	15.57	15.57	326,062,016	1,440,607,360
Apr 12, 2018	14.39	16.48	13.77	16.36	227,064,992	1,273,612,544
